,date,open,high,low,close,volume,amount,outstanding_share,turnover
459,2024-02-27,1328.35,1342.28,1324.55,1329.62,198190492.0,2083027074.0,19405546950.0,0.010213084563432003
460,2024-02-28,1330.89,1354.95,1316.96,1328.35,308269265.0,3253340358.0,19405546950.0,0.015885626197204402
461,2024-02-29,1319.49,1341.02,1318.22,1341.02,184534423.0,1936020983.0,19405546950.0,0.009509364692243318
462,2024-03-01,1341.02,1342.28,1320.76,1328.35,182810290.0,1917689307.0,19405546950.0,0.009420517260916472
463,2024-03-04,1323.29,1329.62,1306.83,1308.09,165592954.0,1719562862.0,19405546950.0,0.008533279398239274
464,2024-03-05,1304.29,1325.82,1299.23,1320.76,181731907.0,1889144330.0,19405546950.0,0.009364946397452611
465,2024-03-06,1316.96,1323.29,1308.09,1308.09,134564016.0,1396940060.0,19405546950.0,0.006934306791079651
466,2024-03-07,1308.09,1347.35,1308.09,1314.42,201616589.0,2109589237.0,19405546950.0,0.010389637020769466
467,2024-03-08,1310.63,1322.02,1304.29,1314.42,111397428.0,1154491251.0,19405546950.0,0.005740494111659141
468,2024-03-11,1314.42,1325.82,1309.36,1325.82,121067298.0,1260212020.0,19405546950.0,0.006238798541053232
469,2024-03-12,1327.09,1341.02,1318.22,1337.22,164126237.0,1721999708.0,19405546950.0,0.008457697040072348
470,2024-03-13,1333.42,1335.95,1304.29,1308.09,176803911.0,1834654994.0,19405546950.0,0.009110998595172294
471,2024-03-14,1304.29,1314.42,1291.63,1295.43,140939973.0,1448499698.0,19405546950.0,0.007262870423757883
472,2024-03-15,1335.95,1361.28,1329.62,1342.28,375020789.0,3973799131.0,19405546950.0,0.019325442872920415
473,2024-03-18,1337.22,1343.55,1328.35,1334.69,167139651.0,1761249150.0,19405546950.0,0.008612983258377059
474,2024-03-19,1333.42,1334.69,1315.69,1316.96,129321558.0,1351069630.0,19405546950.0,0.006664154240702811
475,2024-03-20,1314.42,1325.82,1313.16,1323.29,87266316.0,910278573.0,19405546950.0,0.0044969779117717676
476,2024-03-21,1323.29,1332.15,1319.49,1325.82,86446625.0,905422294.0,19405546950.0,0.00445473787586286
477,2024-03-22,1323.29,1323.29,1305.56,1311.89,102814174.0,1065535606.0,19405546950.0,0.005298184805865521
478,2024-03-25,1310.63,1328.35,1306.83,1316.96,95320221.0,993304120.0,19405546950.0,0.004912008986172894
479,2024-03-26,1323.29,1349.88,1319.49,1342.28,174002146.0,1835376191.0,19405546950.0,0.008966619000656408
480,2024-03-27,1337.22,1346.08,1330.89,1333.42,127413599.0,1347397150.0,19405546950.0,0.006565833950895159
481,2024-03-28,1330.89,1338.48,1314.42,1328.35,130218892.0,1362980388.0,19405546950.0,0.006710395349098883
482,2024-03-29,1323.29,1338.48,1320.76,1332.15,87275898.0,917332316.0,19405546950.0,0.004497471688114413
483,2024-04-01,1332.15,1348.61,1330.89,1347.35,119108796.0,1261770380.0,19405546950.0,0.006137873686678025
484,2024-04-02,1346.08,1352.41,1333.42,1335.95,108545826.0,1149700800.0,19405546950.0,0.005593546333925929
485,2024-04-03,1333.42,1335.95,1319.49,1324.55,98184585.0,1028648883.0,19405546950.0,0.0050596144109197605
486,2024-04-08,1319.49,1328.35,1313.16,1320.76,90636052.0,945290441.0,19405546950.0,0.004670625993358049
487,2024-04-09,1320.76,1325.82,1311.89,1316.96,85715673.0,891468991.0,19405546950.0,0.004417070707713291
488,2024-04-10,1314.42,1318.22,1300.5,1301.76,124639082.0,1288696196.0,19405546950.0,0.006422858490984198
489,2024-04-11,1296.7,1303.03,1281.5,1297.96,101021340.0,1030820137.0,19405546950.0,0.005205797098133325
490,2024-04-12,1294.16,1300.5,1271.37,1273.9,130545371.0,1322011754.0,19405546950.0,0.006727219353124185
491,2024-04-15,1275.17,1306.83,1273.9,1303.03,145320260.0,1486326196.0,19405546950.0,0.007488593873413086
492,2024-04-16,1301.76,1315.69,1294.16,1301.76,147803643.0,1523138499.0,19405546950.0,0.007616566715734853
493,2024-04-17,1299.23,1346.08,1292.9,1344.82,223264057.0,2337576587.0,19405546950.0,0.01150516692857245
494,2024-04-18,1339.75,1396.73,1337.22,1367.61,316591426.0,3427338982.0,19405546950.0,0.01631448094793329
495,2024-04-19,1356.21,1370.14,1349.88,1353.68,145767502.0,1562376147.0,19405546950.0,0.007511640994999113
496,2024-04-22,1347.35,1368.88,1323.29,1329.62,200981837.0,2125722741.0,19405546950.0,0.010356927198076219
497,2024-04-23,1330.89,1348.61,1324.55,1334.69,124002700.0,1308866093.0,19405546950.0,0.006390064671689143
498,2024-04-24,1332.15,1338.48,1324.55,1333.42,94156774.0,989093538.0,19405546950.0,0.00485205463379119
499,2024-04-25,1329.62,1344.82,1327.09,1343.55,111381224.0,1176304525.0,19405546950.0,0.005739659092680199
500,2024-04-26,1341.02,1351.15,1327.09,1342.28,160762751.0,1698581437.0,19405546950.0,0.008284371031345756
